#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
310.0 9.643287013053783 9.609383052008171 0.03390396104561155 0
320.0 9.647806699281 9.621655927752498 0.02615077152850276 0
330.0 9.655753460067295 9.633869010918515 0.021884449148780405 0
340.0 9.662823716499387 9.643553727024448 0.019269989474938853 0
350.0 9.66938852520832 9.65418069933645 0.015207825871868863 0
360.0 9.673044310627942 9.662341469937665 0.010702840690276716 0
370.0 9.683141962939601 9.672358913395506 0.010783049544095036 0
380.0 9.68917952577947 9.680575519550013 0.008604006229457895 0
390.0 9.698804161957936 9.690802036840246 0.008002125117689829 0
400.0 9.700948307188396 9.694852582955484 0.006095724232912048 0
410.0 9.707901879315779 9.704622526676479 0.003279352639300015 0
420.0 9.711633177960662 9.710538276901726 0.0010949010589360597 0
430.0 9.716287615789692 9.718583110235006 -0.0022954944453132953 0
440.0 9.718466335689415 9.720764636164848 -0.0022983004754326686 0
450.0 9.720451376720625 9.724599531077699 -0.004148154357073608 0
460.0 9.721726812224665 9.7242165758765 -0.0024897636518357302 0
470.0 9.724564702283407 9.729182084501513 -0.004617382218105703 0
480.0 9.722061879810758 9.726934834789658 -0.004872954978900168 0
490.0 9.724145824771053 9.72798919006231 -0.0038433652912566174 0
500.0 9.723718197619005 9.7253955166333 -0.001677319014294909 0
0.0 2.974125144209205 2.85124393623852 0.12288120797068514 20
10.0 6.19993697323278 5.939370671909509 0.2605663013232711 20
20.0 7.454515816637137 7.089569092722789 0.3649467239143487 20
30.0 7.928325937728207 7.506736293175155 0.4215896445530518 20
40.0 8.263015857586126 7.791154825617955 0.47186103196817086 20
50.0 8.478163006196676 7.982534445647113 0.4956285605495623 20
60.0 8.63793015931339 8.137669837854343 0.5002603214590469 20
70.0 8.764639806218982 8.257527966413495 0.5071118398054875 20
80.0 8.863798936516918 8.359921451517048 0.5038774849998706 20
90.0 8.955115270655272 8.447592363235731 0.5075229074195402 20
100.0 9.026100574479765 8.526137031632857 0.499963542846908 20
110.0 9.090972817855608 8.608063204725703 0.4829096131299053 20
120.0 9.143423674636628 8.679853243427049 0.46357043120957897 20
130.0 9.18950295947638 8.746967853976418 0.442535105499962 20
140.0 9.224698796294804 8.8098201677429 0.4148786285519037 20
150.0 9.266782791750773 8.873025863387339 0.3937569283634339 20
160.0 9.29894203884198 8.929523438533252 0.36941860030872853 20
170.0 9.333613159818212 8.987678681151387 0.34593447866682503 20
180.0 9.361718017308059 9.036712727633041 0.3250052896750173 20
190.0 9.392662983646513 9.088193941697217 0.3044690419492966 20
200.0 9.420092135725717 9.132569207661941 0.2875229280637761 20
210.0 9.444867561495839 9.178018839249823 0.2668487222460154 20
220.0 9.466487851260418 9.219474416750096 0.24701343451032187 20
230.0 9.48882317212878 9.258069407522207 0.2307537646065736 20
240.0 9.50294561195317 9.29045758806476 0.21248802388840993 20
250.0 9.51915662879993 9.32037030523117 0.19878632356875947 20
260.0 9.531387724008843 9.349232917056836 0.18215480695200625 20
270.0 9.547154150787625 9.37840852944748 0.16874562134014504 20
280.0 9.559333751974052 9.40468870325267 0.15464504872138107 20
290.0 9.5730380636466 9.429573124376287 0.1434649392703129 20
300.0 9.58382570376803 9.450742069373545 0.13308363439448456 20
310.0 9.596981085572121 9.470796966656735 0.12618411891538628 20
320.0 9.60508718724306 9.489266404393575 0.11582078284948416 20
330.0 9.612119409226798 9.507755579230286 0.10436382999651173 20
340.0 9.617489678554435 9.52389453074571 0.09359514780872402 20
350.0 9.625006856882328 9.540965648944953 0.0840412079373749 20
360.0 9.62987272151359 9.551812475353012 0.07806024616057883 20
370.0 9.637042162596133 9.566095774241102 0.07094638835503098 20
380.0 9.641548905698876 9.57465347847568 0.06689542722319608 20
390.0 9.65078309950552 9.587211726806373 0.06357137269914759 20
400.0 9.654471047146444 9.59805084604164 0.056420201104804946 20
410.0 9.660773807977275 9.613907709437408 0.04686609853986745 20
420.0 9.667843359850064 9.627635737039764 0.04020762281029988 20
430.0 9.676470092754098 9.641506031178512 0.03496406157558596 20
440.0 9.683835948041981 9.648882516815753 0.03495343122622785 20
450.0 9.689530183356084 9.661148086784639 0.028382096571444748 20
460.0 9.692024033115842 9.666337580339297 0.025686452776545465 20
470.0 9.697427500059808 9.67612257547946 0.021304924580347162 20
480.0 9.699101316011323 9.68178766441046 0.017313651600861846 20
490.0 9.703076506568456 9.687747302324142 0.015329204244313388 20
500.0 9.70126314222247 9.691205714146104 0.010057428076365227 20
0.0 3.0698355646185256 2.9260111806293456 0.14382438398917996 30
10.0 6.317675160239102 6.161481531725284 0.1561936285138188 30
20.0 7.479797349956393 7.233053919172936 0.24674343078345728 30
30.0 7.9443267589758735 7.586500602271969 0.3578261567039043 30
40.0 8.263054946707818 7.7997016340053165 0.4633533127025018 30
50.0 8.475829913228585 7.926072480145404 0.5497574330831814 30
60.0 8.640828326867807 8.025953927988194 0.6148743988796124 30
70.0 8.775318195662296 8.11366849919318 0.6616496964691159 30
80.0 8.88173662187457 8.20301930470251 0.67871731717206 30
90.0 8.971549792545773 8.29020872635274 0.681341066193033 30
100.0 9.046095506200647 8.370601933649388 0.6754935725512592 30
110.0 9.113613964378903 8.460537159439982 0.6530768049389213 30
120.0 9.17231729005995 8.556438386922368 0.6158789031375829 30
130.0 9.223835063512846 8.662708709146184 0.561126354366662 30
140.0 9.266048147832425 8.777006438249769 0.489041709582656 30
150.0 9.30707637317078 8.888617762004548 0.4184586111662316 30
160.0 9.340615905247784 8.990228179043427 0.35038772620435665 30
170.0 9.36862132596397 9.077057478607788 0.2915638473561817 30
180.0 9.393695458620721 9.151795507242442 0.24189995137827935 30
190.0 9.422021470368065 9.214297723700003 0.20772374666806215 30
200.0 9.445616692868724 9.262947073688904 0.18266961917981916 30
210.0 9.467741997412343 9.306467971169631 0.1612740262427117 30
220.0 9.484660958810752 9.339722732208966 0.144938226601786 30
230.0 9.501129305745144 9.366815911140996 0.13431339460414726 30
240.0 9.51464899879006 9.38844069383871 0.1262083049513496 30
250.0 9.528511655070858 9.408425039700871 0.12008661536998666 30
260.0 9.538502422426097 9.424663042776665 0.11383937964943236 30
270.0 9.552918093687385 9.444638859930054 0.10827923375733128 30
280.0 9.566895508862512 9.464078126608694 0.10281738225381787 30
290.0 9.576355406908517 9.480640508034032 0.09571489887448514 30
300.0 9.587691096075297 9.495714107149317 0.09197698892598005 30
310.0 9.596207951262638 9.507549902927746 0.08865804833489221 30
320.0 9.60360870309637 9.520087271731128 0.08352143136524148 30
330.0 9.61368010629666 9.533617235211963 0.08006287108469756 30
340.0 9.620343791254111 9.544120871449696 0.07622291980441531 30
350.0 9.625419460034905 9.557183088375544 0.0682363716593617 30
360.0 9.630166157841474 9.568246098806618 0.06192005903485587 30
370.0 9.636520316962773 9.578399288580364 0.05812102838240918 30
380.0 9.641164612317665 9.58387313478323 0.05729147753443442 30
390.0 9.647956906731476 9.591708006735667 0.05624889999580951 30
400.0 9.652451959188918 9.597277432303047 0.05517452688587099 30
410.0 9.65766435577693 9.604075109834582 0.05358924594234793 30
420.0 9.657292294137303 9.610064812016489 0.047227482120813846 30
430.0 9.660673975275229 9.61847041209369 0.042203563181539394 30
440.0 9.66203991638898 9.620364170800993 0.04167574558798748 30
450.0 9.664395302132744 9.62700301266261 0.03739228947013373 30
460.0 9.661989942231296 9.627430856565773 0.03455908566552246 30
470.0 9.6661910624507 9.634658558294012 0.03153250415668829 30
480.0 9.664378960025985 9.637911443197327 0.026467516828658333 30
490.0 9.664876674254593 9.646670825515194 0.01820584873939879 30
500.0 9.665528924240474 9.650230494391712 0.015298429848762396 30
0.0 4.363193193462957 4.2924037402050725 0.0707894532578841 50
10.0 5.763806462331745 5.642177071045129 0.12162939128661598 50
20.0 7.165490392030816 6.992941975575312 0.17254841645550378 50
30.0 7.731456988137959 7.528167882898847 0.20328910523911148 50
40.0 8.297746544692306 8.06375446934449 0.23399207534781574 50
50.0 8.501637304401605 8.263871166268355 0.23776613813324943 50
60.0 8.705669061013829 8.464154602575668 0.24151445843816077 50
70.0 8.826596752235472 8.58838292213844 0.2382138300970329 50
80.0 8.94764833398267 8.712763982895371 0.23488435108729888 50
90.0 9.028101519667649 8.799323012647564 0.22877850702008473 50
100.0 9.108656686796282 8.886015433071742 0.22264125372453947 50
110.0 9.155681052020885 8.938556306857508 0.21712474516337643 50
120.0 9.20277475039155 8.991196476775961 0.21157827361558823 50
130.0 9.251575296678988 9.051557032768342 0.20001826391064625 50
140.0 9.300451786959622 9.112009461666426 0.18844232529319527 50
150.0 9.325135597136779 9.151544292700288 0.1735913044364903 50
160.0 9.349871293375333 9.19115602532563 0.15871526804970237 50
170.0 9.384503373372096 9.238407330962053 0.14609604241004348 50
180.0 9.419185291305391 9.285726657734836 0.1334586335705552 50
190.0 9.438668424960616 9.311799832171669 0.1268685927889468 50
200.0 9.458206392282369 9.337930235787608 0.12027615649476076 50
210.0 9.486051409897588 9.372751738727553 0.1132996711700347 50
220.0 9.513949717361422 9.40765441553275 0.10629530182867164 50
230.0 9.527756500194538 9.427680187470179 0.1000763127243598 50
240.0 9.541611599951823 9.447780492517863 0.09383110743396017 50
250.0 9.564522812087008 9.473467449377681 0.09105536270932646 50
260.0 9.58748648724054 9.499217365689068 0.08826912155147149 50
270.0 9.59657025933812 9.513208483502726 0.08336177583539417 50
280.0 9.605709681001233 9.527259214708662 0.07845046629257091 50
290.0 9.623107573507319 9.544830523141849 0.07827705036546995 50
300.0 9.640553159430352 9.56245473738263 0.07809842204772188 50
310.0 9.643951919457947 9.567612382171296 0.07633953728665155 50
320.0 9.647391883677933 9.572817190602612 0.07457469307532172 50
330.0 9.65891833005651 9.58549708737312 0.07342124268338956 50
340.0 9.670504191129384 9.598238096458331 0.07226609467105227 50
350.0 9.671022300945157 9.599733249401629 0.07128905154352871 50
360.0 9.67158666323138 9.601277646445459 0.07030901678592194 50
370.0 9.677353823511334 9.609988363777987 0.06736545973334707 50
380.0 9.683172769944989 9.618745978565395 0.06442679137959395 50
390.0 9.679334567687226 9.617285166520155 0.06204940116707114 50
400.0 9.675552569207195 9.615876761643266 0.059675807563928984 50
410.0 9.677878614573096 9.62029292014305 0.057585694430045464 50
420.0 9.680254442483454 9.624761861716081 0.055492580767372957 50
430.0 9.676131800814588 9.621907349119324 0.05422445169526391 50
440.0 9.672066046674736 9.619110911548301 0.05295513512643524 50
450.0 9.675231753402594 9.62272167383675 0.052510079565843526 50
460.0 9.678459833621245 9.626391637711865 0.05206819590937961 50
470.0 9.676576670900578 9.625120194456123 0.05145647644445539 50
480.0 9.67474037981459 9.623902707527261 0.05083767228732938 50
490.0 9.678393221368005 9.62817038364135 0.050222837726654035 50
500.0 9.682086512803664 9.632478948140283 0.0496075646633809 50
