# Y/D U V
2.750000000000023981e+00 6.264583630925080193e+00 -4.043188692132030151e-03
2.800000000000024247e+00 6.264745851155014478e+00 -3.909189179311464528e-03
2.850000000000024514e+00 6.264848050545700708e+00 -3.780581884874481720e-03
2.900000000000024780e+00 6.264910936605248892e+00 -3.657129286462617798e-03
2.950000000000025047e+00 6.264948887061689398e+00 -3.538761510169927647e-03
3.000000000000024869e+00 6.264970894152218861e+00 -3.425284912663940744e-03
3.050000000000025135e+00 6.264983782974741899e+00 -3.316377185792077596e-03
3.100000000000025402e+00 6.264991198864902522e+00 -3.211870744604146920e-03
3.150000000000025668e+00 6.264995307736143992e+00 -3.111637101579589788e-03
3.200000000000025935e+00 6.264997526099952196e+00 -3.015517408496512335e-03
3.250000000000025757e+00 6.264998725813096137e+00 -2.923214722810294625e-03
3.300000000000026024e+00 6.264999357699313265e+00 -2.834547689338191324e-03
3.350000000000026290e+00 6.264999680304052632e+00 -2.749458168927572214e-03
3.400000000000026557e+00 6.264999843530312695e+00 -2.667805074298248633e-03
3.450000000000026823e+00 6.264999925537921399e+00 -2.589342496154523401e-03
3.500000000000026645e+00 6.264999965403681870e+00 -2.513908144967758745e-03
3.550000000000026912e+00 6.264999984138416522e+00 -2.441479134598930831e-03
3.600000000000027178e+00 6.264999992784022531e+00 -2.371854922885902744e-03
3.650000000000027445e+00 6.264999996837048890e+00 -2.304898416148810393e-03
3.700000000000027711e+00 6.264999998641195056e+00 -2.240448607176368130e-03
3.750000000000027534e+00 6.264999999425796773e+00 -2.178520804382168274e-03
3.800000000000027800e+00 6.264999999761428739e+00 -2.118923341338830452e-03
3.850000000000028066e+00 6.264999999901580630e+00 -2.061492274503682644e-03
3.900000000000028333e+00 6.264999999961625932e+00 -2.006197399142712300e-03
3.950000000000028599e+00 6.264999999984969925e+00 -1.952992243968680076e-03
4.000000000000028422e+00 6.264999999994232738e+00 -1.901717943420763203e-03
